CreateDynamicObject(11111, 836.7105, -2097.7875, 8.6295, 6.2999, 0.0000, 0.0000);
CreateDynamicObject(973, 826.8942, -2095.0288, 9.8203, 0.0000, 6.2999, 270.0000);
CreateDynamicObject(973, 826.8942, -2104.3425, 8.7920, 0.0000, 6.2999, 270.0000);
CreateDynamicObject(973, 826.8942, -2113.6542, 7.7638, 0.0000, 6.2999, 270.0000);
CreateDynamicObject(973, 826.8942, -2122.9841, 6.7335, 0.0000, 6.2999, 270.0000);
CreateDynamicObject(19377, 826.3009, -2132.4038, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19425, 830.0718, -2127.6430, 5.3067, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19425, 843.3743, -2127.6430, 5.3067, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19425, 844.9545, -2127.6430, 5.3168, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(640, 848.9995, -2128.2685, 5.9636, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(970, 848.9061, -2127.7553, 5.8225, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(640, 852.0629, -2135.9484, 5.9636, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(640, 852.0629, -2141.3198, 5.9636, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(640, 849.0307, -2144.3730, 5.9636, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(640, 843.6607, -2144.3730, 5.9636, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(970, 852.5369, -2130.6599, 5.8225, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(970, 852.5369, -2135.9331, 5.8225, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(970, 852.5369, -2141.3054, 5.8225, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(970, 849.0598, -2144.8781, 5.8225, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(970, 843.6691, -2144.8781, 5.8225, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19121, 852.0791, -2144.4025, 5.8133, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19087, 851.7092, -2141.2751, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 849.2490, -2141.2751, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 851.7108, -2138.4636, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 849.2507, -2138.4636, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 851.7088, -2135.1713, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 849.2586, -2135.1713, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 851.7081, -2132.0092, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19087, 849.2482, -2132.0092, 5.2624, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19868, 850.0097, -2144.2229, 5.2321, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19868, 850.0097, -2139.0380, 5.2321, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19868, 850.0097, -2133.8654, 5.2321, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19868, 850.0097, -2130.3432, 5.2321, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19868, 849.6994, -2130.0329, 5.2321, 90.0000, 90.0000, 90.0000);
CreateDynamicObject(19868, 823.9667, -2130.0329, 5.2321, 90.0000, 90.0000, 90.0000);
CreateDynamicObject(19868, 823.5964, -2130.3232, 5.2321, 90.0000, 90.0000, 180.0000);
CreateDynamicObject(19868, 823.5964, -2135.4960, 5.2321, 90.0000, 90.0000, 180.0000);
CreateDynamicObject(19868, 823.5964, -2140.6599, 5.2321, 90.0000, 90.0000, 180.0000);
CreateDynamicObject(19868, 823.5964, -2144.1718, 5.2321, 90.0000, 90.0000, 180.0000);
CreateDynamicObject(19446, 846.1181, -2146.9213, 7.0200, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19446, 827.4686, -2146.9213, 7.0200, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19427, 832.8466, -2146.9208, 7.0229, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19427, 840.8384, -2146.9208, 7.0229, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19384, 836.8372, -2146.9238, 7.0248, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19427, 839.2378, -2146.9208, 7.0229, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19427, 834.4370, -2146.9208, 7.0229, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(998, 852.4978, -2155.4240, 6.1980, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(998, 821.1453, -2155.1337, 6.1980, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 851.7448, -2148.5891, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19377, 836.8009, -2151.6550, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19377, 847.3012, -2151.6550, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19377, 826.3011, -2151.6550, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19428, 851.7448, -2152.0900, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19428, 821.8535, -2148.5871, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19428, 821.8535, -2152.0861, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19446, 850.8498, -2151.8249, 7.0200, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19446, 822.7291, -2151.8249, 7.0200, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19377, 836.8009, -2161.2846, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19377, 847.3005, -2161.2846, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19377, 826.3004, -2161.2846, 5.1806, 0.0000, 270.0000, 0.0000);
CreateDynamicObject(19428, 851.7448, -2155.5832, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19428, 851.7448, -2159.0754, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19428, 851.7448, -2162.5776, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19868, 850.0097, -2149.3969, 5.2321, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19868, 850.0097, -2154.5690, 5.2321, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19868, 850.0097, -2159.7414, 5.2321, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19868, 850.0097, -2164.9243, 5.2321, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(998, 852.4978, -2166.3503, 6.1980, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(19446, 850.8498, -2161.4543, 7.0200, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19428, 851.7448, -2166.0791, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19428, 849.1945, -2167.0200, 5.1842, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 845.6940, -2167.0200, 5.1842, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 842.1936, -2167.0200, 5.1842, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 831.7036, -2167.0200, 5.1842, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 838.6938, -2167.0200, 5.1842, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 835.2037, -2167.0200, 5.1842, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 828.2037, -2167.0200, 5.1842, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 824.7045, -2167.0200, 5.1842, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19428, 821.8535, -2155.5876, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19428, 821.8551, -2166.0710, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19428, 821.8535, -2159.0676, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19428, 821.8535, -2162.5700, 5.1842, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19425, 822.8446, -2166.1774, 5.2612, 180.0000, 0.0000, 90.0000);
CreateDynamicObject(19446, 822.7291, -2161.4511, 7.0200, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19446, 827.6395, -2166.1743, 7.0200, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19425, 850.1055, -2166.2531, 6.1416, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19446, 837.2687, -2166.1743, 7.0200, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19354, 843.6931, -2166.1662, 7.0272, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19354, 846.9030, -2166.1662, 7.0272, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19427, 849.3089, -2166.1728, 7.0229, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19425, 850.6356, -2166.2531, 6.1416, 0.0000, 90.0000, 90.0000);
CreateDynamicObject(19328, 850.2594, -2166.0937, 7.7273, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(19425, 849.9649, -2166.0930, 6.1416, 0.0000, 90.0000, 270.0000);
CreateDynamicObject(19328, 850.2594, -2166.2639, 7.7273, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19425, 850.4954, -2166.0930, 6.1416, 0.0000, 90.0000, 270.0000);
CreateDynamicObject(998, 842.8083, -2167.7114, 6.1980, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(998, 832.3890, -2167.7114, 6.1980, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(998, 821.9183, -2167.7114, 6.1980, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(948, 835.3497, -2147.2934, 5.2656, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19868, 849.9096, -2165.2946, 5.2321, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(19868, 844.7392, -2165.2946, 5.2321, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(19868, 839.5692, -2165.2946, 5.2321, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(19868, 834.3990, -2165.2946, 5.2321, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(19868, 829.2285, -2165.2946, 5.2321, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(19868, 824.0479, -2165.2946, 5.2321, 90.0000, 0.0000, 0.0000);
CreateDynamicObject(19868, 823.5964, -2149.3439, 5.2321, 90.0000, 90.0000, 180.0000);
CreateDynamicObject(19868, 823.5964, -2154.5156, 5.2321, 90.0000, 90.0000, 180.0000);
CreateDynamicObject(19868, 823.5964, -2159.6872, 5.2321, 90.0000, 90.0000, 180.0000);
CreateDynamicObject(19868, 823.5964, -2164.8706, 5.2321, 90.0000, 90.0000, 180.0000);
CreateDynamicObject(998, 821.1453, -2166.2355, 6.1980, 90.0000, 90.0000, 0.0000);
CreateDynamicObject(2774, 821.7946, -2167.0769, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 851.7648, -2167.0769, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(948, 838.2401, -2147.2934, 5.2656, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2833, 836.3059, -2148.3029, 5.2649, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1703, 839.1195, -2147.5219, 5.2671, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1703, 832.4585, -2147.5219, 5.2671, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2725, 831.7164, -2147.4633, 5.6735, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1670, 831.7183, -2147.4438, 6.1245, 0.0000, 0.0000, -119.3999);
CreateDynamicObject(2725, 841.9267, -2147.4633, 5.6735, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19446, 843.7699, -2161.2617, 7.0200, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19354, 849.1634, -2154.2739, 7.0272, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19384, 844.8749, -2155.3762, 7.0248, 0.0000, 0.0000, -45.0000);
CreateDynamicObject(19427, 846.7595, -2154.2702, 7.0229, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19427, 850.2603, -2147.5092, 7.0229, 0.0000, 0.0000, 45.0000);
CreateDynamicObject(19929, 850.3289, -2149.9733, 5.2698, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19929, 850.3289, -2152.8242, 5.2698, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19930, 849.0264, -2147.4570, 5.2679, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19927, 847.4739, -2147.4514, 5.2677, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19930, 845.9266, -2147.4570, 5.2679, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19925, 844.9048, -2147.4641, 5.2720, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19916, 850.2499, -2148.3271, 5.3604, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(19830, 850.3796, -2149.1293, 6.1919, 0.0000, 0.0000, 290.0000);
CreateDynamicObject(19825, 850.2020, -2147.6159, 8.1134, 0.0000, 0.0000, -45.0000);
CreateDynamicObject(19818, 847.0856, -2147.6450, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19818, 846.9155, -2147.6450, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19818, 846.7453, -2147.6450, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19818, 846.7453, -2147.4548, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19818, 846.7453, -2147.2746, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19818, 846.9155, -2147.2746, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19818, 847.0856, -2147.2746, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19818, 847.0856, -2147.4548, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19818, 846.9155, -2147.4548, 6.3794, 0.0000, 180.0000, 0.0000);
CreateDynamicObject(19587, 850.2493, -2150.5805, 6.2039, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19563, 850.3884, -2149.5427, 6.1909, 0.0000, 0.0000, -112.3000);
CreateDynamicObject(19562, 849.1177, -2147.3632, 6.1922, 0.0000, 0.0000, -29.9000);
CreateDynamicObject(2453, 850.2222, -2153.7307, 6.5655, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2839, 850.2677, -2152.5476, 6.1949, 0.0000, 0.0000, -107.7999);
CreateDynamicObject(956, 843.3073, -2147.5668, 5.6717, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19172, 850.6422, -2151.2800, 7.6280, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(2261, 848.9212, -2153.6843, 6.9784, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(2262, 847.3061, -2153.6989, 7.0279, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(19377, 827.8919, -2161.4482, 8.8188, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19377, 827.8919, -2151.8156, 8.8188, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19377, 838.3912, -2151.8156, 8.8188, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19377, 838.3912, -2161.4458, 8.8188, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19449, 845.3922, -2161.4392, 8.8342, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19449, 845.3922, -2151.8093, 8.8342, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19449, 848.8922, -2151.8093, 8.8342, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19449, 848.8922, -2161.4426, 8.8342, 0.0000, 90.0000, 0.0000);
CreateDynamicObject(19446, 850.7397, -2161.4543, 7.0200, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2921, 822.8574, -2146.8217, 8.6734, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(19446, 850.7197, -2151.8249, 7.0200, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1622, 850.6272, -2146.4323, 9.4946, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(1231, 821.4150, -2145.0378, 8.0195, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(1231, 852.2080, -2145.0378, 8.0195, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2238, 841.9294, -2147.4296, 6.5186, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2345, 835.1150, -2146.8017, 8.5747, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(2345, 836.8555, -2146.8017, 8.5747, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(2345, 838.6257, -2146.8017, 8.5747, 0.0000, 0.0000, 180.0000);
CreateDynamicObject(3811, 829.0386, -2146.4758, 7.8057, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(3811, 845.1108, -2146.4758, 7.8057, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19124, 822.8344, -2147.2138, 9.4556, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(14877, 824.6252, -2146.1560, 6.7990, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(19124, 822.8344, -2166.1154, 9.4556, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19124, 850.4456, -2166.1154, 9.4556, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19124, 850.4456, -2147.1699, 9.4556, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(3928, 843.5362, -2156.4020, 8.9354, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(3928, 829.4765, -2156.4020, 8.9354, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(1318, 843.6517, -2151.2983, 8.9521, 0.0000, 90.0000, 270.0000);
CreateDynamicObject(14446, 848.9106, -2163.0585, 5.8484, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(2774, 836.8352, -2167.0769, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(1318, 829.6412, -2151.3088, 8.9521, 0.0000, 90.0000, 270.0000);
CreateDynamicObject(1318, 829.6412, -2161.9433, 8.9521, 0.0000, 90.0000, 270.0000);
CreateDynamicObject(1318, 843.6314, -2161.9433, 8.9521, 0.0000, 90.0000, 270.0000);
CreateDynamicObject(2774, 836.8352, -2146.4450, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2774, 836.8352, -2128.0339, -7.8846, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19354, 847.5227, -2155.9643, 7.0272, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19384, 849.0454, -2157.6584, 7.0248, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(19786, 843.8565, -2163.0441, 7.8342, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2246, 844.3302, -2160.9304, 5.6711, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2246, 844.3302, -2165.3347, 5.6711, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2249, 844.3265, -2165.4426, 6.2917, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2249, 844.3265, -2161.0205, 6.2917, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2230, 843.8224, -2164.0463, 5.2702, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2230, 843.8224, -2161.4538, 5.2702, 0.0000, 0.0000, 90.0000);
CreateDynamicObject(2339, 850.1520, -2165.4594, 5.2716, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(2339, 850.1520, -2160.5549, 5.2716, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(2099, 846.6271, -2154.3674, 5.2743, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2108, 850.2521, -2158.1110, 5.2738, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(2372, 850.3114, -2156.5800, 5.2741, 0.0000, 0.0000, 0.0000);
CreateDynamicObject(19174, 850.6591, -2163.0231, 7.7142, 0.0000, 0.0000, 270.0000);
CreateDynamicObject(2394, 850.1040, -2155.9819, 5.9910, 0.0000, 0.0000, 90.0000);
